,Start,End,Style,StyleInd,hasIcon
55,138.96,141.5,Ramune,0,True
56,140.96,142.8,Yakumo,-1,False
57,141.76,143.46,Ichinose,2,True
58,144.26,147.2,Ichinose,2,True
59,147.2,148.7,Yakumo,-1,False
60,148.7,151.76,Ichinose,2,True
61,151.76,154.06,Hinano,5,True
62,151.76,157.06,Question,-1,False
63,151.76,157.06,Translator,-1,False
64,154.06,156.53,Ema,4,True
65,156.53,158.33,Asumi,6,True
66,157.93,162.43,Hinano,5,True
67,159.8,162.1,Yakumo,-1,False
68,162.1,163.7,Hanabusa,1,True
69,162.83,165.33,Asumi,6,True
70,164.66,166.4,Ema,4,True
71,166.4,168.23,Asumi,6,True
72,167.56,170.33,Mimitaya,7,True
73,170.33,172.93,Hanabusa,1,True
74,172.93,175.03,Ichinose,2,True
75,175.03,176.43,Ichinose,2,True
76,175.73,177.93,Yakumo,-1,False
77,177.93,179.53,Sumire,3,True
78,179.53,184.0,Yakumo,-1,False
79,181.83,184.0,Hinano,5,True
80,184.0,185.91,Sumire,3,True
81,184.0,188.73,Translator,-1,False
82,184.0,186.73,Yakumo,-1,False
83,186.73,189.26,Hanabusa,1,True
84,189.26,192.4,Yakumo,-1,False
85,189.96,191.03,Hinano,5,True
86,199.16,200.6,Yakumo,-1,False
87,200.6,201.53,Yakumo,-1,False
88,202.33,205.23,Asumi,6,True
89,204.03,206.9,Ema,4,True
90,206.9,210.06,Yakumo,-1,False
91,210.06,211.36,Asumi,6,True
92,211.36,218.96,Hinano,5,True
93,218.96,222.56,Asumi,6,True
94,222.56,224.46,Yakumo,-1,False
95,223.6,225.8,Ichinose,2,True
96,225.8,227.6,Mimitaya,7,True
97,227.6,229.5,Yakumo,-1,False
98,229.5,234.1,Question,-1,False
99,229.5,231.1,Sumire,3,True
100,230.76,232.6,Yakumo,-1,False
101,232.6,233.63,Ichinose,2,True
102,236.76,239.63,Asumi,6,True
103,239.63,242.7,Translator,-1,False
104,239.63,242.7,Yakumo,-1,False
105,241.13,243.9,Hanabusa,1,True
106,243.9,245.43,Ema,4,True
107,243.9,245.43,Hinano,5,True
108,245.43,246.43,Ramune,0,True
109,246.43,248.76,Asumi,6,True
110,249.06,250.23,Yakumo,-1,False
111,250.23,252.3,Ichinose,2,True
112,252.3,253.43,Sumire,3,True
113,253.43,256.46,Hanabusa,1,True
114,255.06,256.2,Hinano,5,True
115,255.53,256.7,Ema,4,True
116,257.36,258.16,Ramune,0,True
117,258.16,261.8,Yakumo,-1,False
118,265.1,267.23,Asumi,6,True
119,266.66,268.2,Mimitaya,7,True
120,268.2,270.8,Asumi,6,True
121,270.53,275.13,Yakumo,-1,False
122,275.13,278.26,Ichinose,2,True
123,277.03,278.86,Hanabusa,1,True
124,278.86,280.46,Asumi,6,True
125,280.16,281.33,Ichinose,2,True
126,280.66,282.9,Hanabusa,1,True
127,282.9,284.14,Sumire,3,True
128,284.14,285.5,Sumire,3,True
129,285.5,287.53,Ichinose,2,True
130,289.3,291.9,Sumire,3,True
131,291.9,292.76,Hinano,5,True
132,292.23,294.16,Sumire,3,True
133,294.16,296.33,Yakumo,-1,False
134,296.33,299.03,Yakumo,-1,False
135,300.06,303.63,Yakumo,-1,False
136,303.0,304.36,Mimitaya,7,True
137,303.0,304.36,Translator,-1,False
138,305.43,308.0,Yakumo,-1,False
139,308.0,310.3,Mimitaya,7,True
140,310.3,312.03,Ichinose,2,True
141,310.46,311.76,Mimitaya,7,True
142,313.06,315.53,Hanabusa,1,True
143,314.46,317.16,Sumire,3,True
144,317.16,318.83,Ema,4,True
145,318.83,320.5,Hanabusa,1,True
146,319.93,323.53,Sumire,3,True
147,323.53,325.9,Yakumo,-1,False
148,325.9,328.53,Mimitaya,7,True
149,329.16,333.06,Ichinose,2,True
150,332.03,335.86,Yakumo,-1,False
151,332.73,334.16,Ramune,0,True
152,336.4,337.56,Asumi,6,True
153,337.06,339.4,Ichinose,2,True
154,338.43,345.63,Hinano,5,True
155,338.43,345.63,Translator,-1,False
156,345.63,350.7,Hanabusa,1,True
157,346.03,347.8,Ichinose,2,True
158,348.1,350.06,Yakumo,-1,False
159,350.66,352.06,Yakumo,-1,False
160,352.06,356.23,Yakumo,-1,False
161,356.23,357.93,Ema,4,True
162,356.96,358.53,Hinano,5,True
163,358.53,360.53,Hanabusa,1,True
164,364.33,366.46,Yakumo,-1,False
