,Start,End,Start_seconds,Start_samples,End_seconds,End_samples
578,0:28:56.35,0:29:04.00,1736.35,76573035,1744.0,76910400
581,0:29:09.30,0:29:10.50,1749.3,77144130,1750.5,77197050
583,0:29:15.15,0:29:23.20,1755.15,77402115,1763.2,77757120
587,0:29:25.35,0:29:26.65,1765.35,77851935,1766.65,77909265
592,0:29:45.70,0:30:06.40,1785.7,78749370,1806.4,79662240
598,0:30:08.95,0:30:11.60,1808.95,79774695,1811.6,79891560
600,0:30:15.10,0:30:31.70,1815.1,80045910,1831.7,80777970
606,0:30:34.00,0:30:38.35,1834.0,80879400,1838.35,81071235
609,0:30:41.55,0:30:46.70,1841.55,81212355,1846.7,81439470
611,0:30:49.40,0:30:53.95,1849.4,81558540,1853.95,81759195
613,0:30:55.15,0:31:02.90,1855.15,81812115,1862.9,82153890
616,0:31:07.35,0:31:10.20,1867.35,82350135,1870.2,82475820
618,0:31:13.05,0:31:20.70,1873.05,82601505,1880.7,82938870
620,0:31:22.10,0:31:25.55,1882.1,83000610,1885.55,83152755
622,0:31:26.60,0:31:30.75,1886.6,83199060,1890.75,83382075
624,0:31:34.25,0:31:41.80,1894.25,83536425,1901.8,83869380
627,0:31:45.40,0:31:47.15,1905.4,84028140,1907.15,84105315
630,0:31:53.75,0:31:58.15,1913.75,84396375,1918.15,84590415
633,0:32:02.75,0:32:04.75,1922.75,84793275,1924.75,84881475
635,0:32:06.75,0:32:07.85,1926.75,84969675,1927.85,85018185
645,0:32:33.80,0:32:37.20,1953.8,86162580,1957.2,86312520
647,0:32:43.40,0:32:48.50,1963.4,86585940,1968.5,86810850
649,0:32:51.65,0:32:54.10,1971.65,86949765,1974.1,87057810
651,0:32:56.80,0:33:00.20,1976.8,87176880,1980.2,87326820
654,0:33:08.10,0:33:12.65,1988.1,87675210,1992.65,87875865
658,0:33:18.60,0:33:19.85,1998.6,88138260,1999.85,88193385
664,0:33:35.25,0:33:38.25,2015.25,88872525,2018.25,89004825
667,0:33:42.15,0:33:44.85,2022.15,89176815,2024.85,89295885
669,0:33:49.50,0:34:00.45,2029.5,89500950,2040.45,89983845
671,0:34:02.35,0:34:17.45,2042.35,90067635,2057.45,90733544
675,0:34:20.00,0:34:23.20,2060.0,90846000,2063.2,90987119
